Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
13.776265250000000,26,0x53,0xFF,Read,ACK
13.777801000000000,26,0x53,0xFF,Read,ACK
13.779358500000001,26,0x53,0xFF,Read,ACK
13.780763250000000,26,0x53,0xFF,Read,ACK
13.782158500000000,26,0x53,0xFF,Read,ACK
13.783609750000000,26,0x53,0xFF,Read,NAK
13.842360500000000,27,0x53,0x5A,Write,ACK
13.846417250000000,28,0x53,0xFF,Read,ACK
13.847821000000000,28,0x53,0xFF,Read,NAK
13.906480500000001,29,0x46,0x01,Write,ACK
13.907821250000000,29,0x46,0x98,Write,ACK
13.951985499999999,30,0x46,0x02,Write,ACK
13.953329999999999,30,0x46,0x88,Write,ACK
13.997490000000001,31,0x46,0x03,Write,ACK
13.998907500000000,31,0x46,0x88,Write,ACK
14.042985000000000,32,0x46,0x04,Write,ACK
14.044455500000000,32,0x46,0x97,Write,ACK
14.088487750000001,33,0x46,0x05,Write,ACK
14.089954499999999,33,0x46,0x78,Write,ACK
14.134022750000000,34,0x46,0x06,Write,ACK
14.135381000000001,34,0x46,0x80,Write,ACK
14.179416000000000,35,0x46,0x07,Write,ACK
14.180903000000001,35,0x46,0xB0,Write,ACK
14.225031500000000,36,0x46,0x08,Write,ACK
14.226376000000000,36,0x46,0xEF,Write,ACK
14.270544500000000,37,0x46,0x09,Write,ACK
14.271886250000000,37,0x46,0x49,Write,ACK
14.318391249999999,38,0x46,0x0A,Write,ACK
14.319865249999999,38,0x46,0x9E,Write,ACK
14.363999750000000,39,0x46,0x0B,Write,ACK
14.365366249999999,39,0x46,0x93,Write,ACK
14.409512500000000,40,0x46,0x0C,Write,ACK
14.410861250000000,40,0x46,0xCA,Write,ACK
14.454986999999999,41,0x46,0x0D,Write,ACK
14.456333000000001,41,0x46,0x09,Write,ACK
14.500367750000001,42,0x46,0x0E,Write,ACK
14.501709249999999,42,0x46,0xC0,Write,ACK
14.545847000000000,43,0x46,0x0F,Write,ACK
14.547190750000000,43,0x46,0xC1,Write,ACK
14.591354500000000,44,0x46,0x10,Write,ACK
14.592705000000000,44,0x46,0x40,Write,ACK
14.636859500000000,45,0x46,0x11,Write,ACK
14.638209000000000,45,0x46,0x09,Write,ACK
14.682369749999999,46,0x46,0x12,Write,ACK
14.683790249999999,46,0x46,0x7D,Write,ACK
14.727889500000000,47,0x46,0x00,Write,ACK
14.729362000000000,47,0x46,0xFF,Write,ACK
