"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"SJ1-3533NG","CUI Devices","CP1-3533NG-ND","","","Tray","Active","1","1.18000","$1.18","0","11 Weeks","CONN JACK STEREO 3.5MM R/A","RoHS Compliant","Lead free","Not Available"
"CF14JT220R","Stackpole Electronics Inc","CF14JT220RCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","234432","24 Weeks","RES 220 OHM 1/4W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"CF14JT220R","Stackpole Electronics Inc","CF14JT220RCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","234432","24 Weeks","RES 220 OHM 1/4W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"1935857","Phoenix Contact","277-9080-ND","","","Bulk","Active","1","2.30000","$2.30","605","4 Weeks","TERM BLK 10P SIDE ENTRY 5MM PCB","RoHS Compliant","Lead free","Not Available"
"67997-206HLF","Amphenol ICC (FCI)","609-3234-ND","","","Bag","Active","1","0.35000","$0.35","10232","13 Weeks","CONN HEADER VERT 6POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected"
"CF14JT2K20","Stackpole Electronics Inc","CF14JT2K20CT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","41877","24 Weeks","RES 2.2K OHM 1/4W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"USA1H010MDD1TE","Nichicon","493-14556-1-ND","","","Cut Tape (CT)","Active","1","0.29000","$0.29","2916","19 Weeks","CAP ALUM 1UF 20% 50V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"AOM-5024L-HD-R","PUI Audio, Inc.","668-1596-ND","","","Bulk","Active","1","3.16000","$3.16","8330","13 Weeks","MICROPHONE COND ANALOG OMNI","ROHS3 Compliant","Lead free","Not Available"
"929665-02-13-I","3M","3M156308-26-ND","","","Bulk","Active","1","4.95000","$4.95","1523","2 Weeks","CONN HEADER VERT 26POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected"
