"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"0430452400","Molex","WM4728-ND","","","Tray","Active","1","6.20000","$6.20","406","4 Weeks","CONN HEADER R/A 24POS 3MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"1935857","Phoenix Contact","277-9080-ND","","","Bulk","Active","1","2.29000","$2.29","667","8 Weeks","TERM BLK 10P SIDE ENTRY 5MM PCB","RoHS Compliant","Lead free","Not Available"
"1935187","Phoenix Contact","277-1579-ND","","","Bulk","Active","1","0.84000","$0.84","10518","7 Weeks","TERM BLK 4POS SIDE ENTRY 5MM PCB","RoHS Compliant","Lead free","Not Available"
"0470531000","Molex","WM4330-ND","","","Bag","Active","1","0.46000","$0.46","14543","11 Weeks","CONN HEADER VERT 4POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
